,RegionCode,T,Nuts0,sp61,tc,tl_mean,tl_diff,sp61_resi_regional_alt,sp61_resi_regional_alt_cont,population,empden,labprod,unemployment
580,NL41,2007,NL,10.547238683535026,1.9311516698464035,4.418055594161682,2.057503509795209,0.0,-0.2255624113328088,2419042,25.01983118071799,0.0713938785464596,3.5
581,NL42,2007,NL,9.727190152729747,1.911561129292008,4.4431870764721415,2.162832635954292,1.0,0.2092197250972205,1127805,24.97094239620624,0.0662255259728169,5.4
582,SE11,2007,SE,10.600923615552947,1.8496350210475367,4.311978841822353,1.9473951781716927,1.0,0.124667387041681,1918104,15.520071173285476,0.1042919153983,5.6
583,SE12,2007,SE,9.826874944362883,1.9519729351391597,4.3004068195593,1.5917744003872905,0.0,-0.2585404989625746,1524509,1.9011899273196329,0.0703481335149863,6.7
584,SE21,2007,SE,9.691382042123898,1.7930974682570218,4.262664491502076,2.0076091440768726,1.0,0.6155868973806625,802247,1.222208555459888,0.0677796269023073,5.1
585,SE22,2007,SE,9.18455814364956,2.0480500559782877,4.341954144824954,1.65682995250222,0.0,-0.0565277068054792,1335936,4.617332160405089,0.0754941914498141,7.1
586,SE23,2007,SE,8.412347461894845,2.452374871222725,4.45641527564467,1.518887932836564,0.0,-0.9316797277108276,1827143,3.1222699259289475,0.0749807729994556,5.9
587,SE31,2007,SE,8.796306863102457,1.9885554231430864,4.342144686359196,1.697892139347711,0.0,-1.306117845439501,824853,0.6176129073596266,0.0666132085020242,6.3
588,SE32,2007,SE,9.249839315154516,1.830027380573849,4.29772349105646,2.001474324314485,0.0,-0.6236722410311341,370998,0.2532818228406985,0.0687244580322401,6.3
589,SE33,2007,SE,10.085978679712213,1.7080653646585235,4.359842737313659,2.135370061967838,0.0,-1.1870993723877636,509467,0.1618235816648603,0.0716047120418848,6.8
590,SK01,2007,SK,9.086790022857942,2.1721847856270933,5.393256443621157,2.361078083288591,1.0,3.244416962183996,592062,15.814089447529964,0.0471826247689463,4.3
591,SK02,2007,SK,9.344730329891023,2.2603390728661017,5.533664492326574,2.354855741405107,1.0,2.094721268287745,1847853,5.7482074370518585,0.0218378278022743,7.8
592,SK03,2007,SK,8.698084418679773,2.33858694183395,5.397625641647508,2.673040173063604,1.0,2.3275525297304744,1350943,3.435978159279846,0.0197354330708661,15.3
593,SK04,2007,SK,8.724280655568094,2.2712160758320783,5.429655588460734,2.8059229227765288,1.0,2.882367393646014,1582322,3.8947247939770073,0.018246187755102,14.9
594,AT11,2008,AT,7.97044671153028,2.202885810192742,4.827795751218068,3.135134168685666,1.0,2.117906839124231,280977,3.643151039537862,0.0479431563201196,4.2
595,AT12,2008,AT,10.02849446907566,2.149653958921628,4.985161817239417,3.210994646285615,1.0,5.528510370641333,1595503,4.096338441869926,0.0597726205829249,3.7
596,AT13,2008,AT,10.409880002692594,2.026139862642243,4.74087956802448,3.2319786101438286,1.0,0.5078428704475857,1671221,190.75990911386012,0.1015006484912652,7.3
597,AT21,2008,AT,8.88184445199596,2.1504587143546607,4.812959741720232,3.1608196852029717,1.0,1.0045867298633602,559715,2.752988898377455,0.064997014346646,3.6
598,AT22,2008,AT,9.683701397610127,2.163770616397996,4.836350534599723,3.1008788003147965,1.0,1.0305496808410928,1203701,3.555123487934238,0.0650768258913118,3.8
599,AT31,2008,AT,9.946651637570328,2.121428893347048,4.822227320042901,3.137190310219928,1.0,6.426738097047313,1405762,6.010649191071062,0.0705746450880181,2.7
600,AT32,2008,AT,9.225448241084647,2.13164673103612,4.94090866232729,3.291416350685589,1.0,0.9211765368096014,525944,3.707274196520975,0.0816068068833652,2.8
601,AT33,2008,AT,9.439358701912049,2.147397965896682,4.95689689923146,3.3072802899219207,1.0,0.9800859941527016,699588,2.784569410486281,0.0726505595408895,2.6
602,AT34,2008,AT,8.783909219212772,2.1127228953955703,4.909462163419851,3.336269694822649,1.0,4.632921510985581,365578,7.076328044833846,0.0750590630228667,4.1
603,BE10,2008,BE,10.21320443441854,1.8976276138670327,4.748898551794661,2.5661953151829966,1.0,4.549186827557215,1048491,247.2049689440994,0.1642610301507537,15.9
604,BE21,2008,BE,10.308263257400476,2.140461567508639,4.867182235089679,2.5894769744848407,1.0,1.5445930235619445,1715707,26.67621776504298,0.0899636949516648,4.6
605,BE22,2008,BE,9.250659048742904,2.3268935729143814,4.889681372495666,2.297088107855827,1.0,3.190983407052345,826690,15.162907268170423,0.0623900275482093,4.4
606,BE23,2008,BE,9.8763319782924,2.1759193656515787,4.939368461926762,2.438080081509467,0.0,-1.090937048036963,1408484,21.85675492192804,0.0643407827302376,3.6
607,BE24,2008,BE,9.644825694349668,2.1903562109183343,4.775949417116716,2.428001458664525,0.0,-4.739103284809953,1060232,22.642857142857142,0.0771041219768664,4.2
608,BE25,2008,BE,9.730031093793285,2.252235504634021,4.9804710564829415,2.374534405026972,0.0,-2.777213366626346,1150487,15.964240102171138,0.0716633399999999,2.7
609,BE31,2008,BE,8.669247040676858,2.377066637562959,4.886901507237295,2.449046808259387,1.0,13.249078772232716,373492,14.49129239230064,0.0816165717900063,6.5
610,BE32,2008,BE,9.410961017795234,2.243965301180185,4.94287112421902,2.3948640199349738,1.0,3.893509748411371,1300097,12.480784521600848,0.0593769802505839,11.6
611,BE33,2008,BE,9.344511203884448,2.265626815899189,4.935217434158553,2.336292233941516,1.0,2.3720995997500567,1053722,10.423927178153445,0.0632680139720558,10.5
612,BE34,2008,BE,7.871617514479753,2.331254349035668,4.947263277397373,2.4763471916393547,0.0,-3.5438253068841044,264084,2.4335286164939163,0.0530566666666666,7.7
613,BE35,2008,BE,8.499202787238277,2.325043961699955,4.938555272586357,2.4359675426598795,1.0,4.151596096552999,465380,5.0,0.0582772975929978,8.8
614,CZ01,2008,CZ,9.919209301981732,2.14820538930882,5.451636236060957,2.1877874598210827,1.0,28.69235024904981,1195521,133.0311147743664,0.0662118649318463,1.9
615,CZ02,2008,CZ,9.133376424887471,2.2482232638592308,5.699892481814852,1.969443422209096,1.0,26.550925187185054,1201524,5.546559079089823,0.0297004170837504,2.6
616,CZ03,2008,CZ,8.90508509013755,2.292154476143323,5.465508904266395,1.8875453839122205,1.0,8.18838713633271,1191156,3.4849719010589117,0.0264224482932571,3.1
617,CZ04,2008,CZ,8.844080850512665,2.266086692846611,5.558902350232864,1.9213798291691384,1.0,20.585883229155893,1130335,6.1356208186334085,0.0256736538461538,7.8
618,CZ05,2008,CZ,9.079245386759782,2.335806963361549,5.477676463890781,1.844832332032808,1.0,12.540922329051757,1494631,5.791934207413088,0.0261801380476123,4.0
619,CZ06,2008,CZ,9.284761318307734,2.257646833852801,5.478480440460555,1.9959851418394408,1.0,18.886644772173845,1657593,5.719366263901238,0.0293966743119266,4.0
620,CZ07,2008,CZ,8.900052030205435,2.2685301369391646,5.51767282236501,1.8798169279095396,1.0,24.940133928258152,1229618,6.351398754713672,0.0256771487745944,4.9
621,CZ08,2008,CZ,8.984287017659677,2.195172231017919,5.470650323695527,2.1096980593703663,1.0,19.39012551480018,1243044,10.702655900013175,0.0279964650017587,7.4
622,EE00,2008,EE,8.855903319348265,2.003070176747988,4.842092035320684,1.9616209532339453,0.0,-6.340375616112355,1338440,1.510407073125806,0.0253324085365853,5.5
623,ES11,2008,ES,10.150620226997344,1.9887984693837657,5.252874864261211,2.045516525530141,1.0,8.353185931861827,2754766,4.0931487804379385,0.0485833749583749,8.6
624,ES12,2008,ES,9.25817425601072,2.02326929451372,5.090259181765668,1.812914048664159,1.0,7.081087180615685,1071079,4.314363246125772,0.0522560157790926,8.5
625,ES13,2008,ES,8.707875957960178,2.093428656869227,5.02309641679071,1.871447397954399,1.0,6.003123423962446,577267,5.023664252722815,0.0501727203934922,7.2
626,ES21,2008,ES,10.261586580998127,1.9886134563875149,5.197474690699671,1.9160257359806665,1.0,7.782365338620156,2159415,14.032504514515908,0.0661053058800237,6.6
627,ES22,2008,ES,8.916120502177257,2.107934196670319,4.973903735755165,1.6591326764082313,1.0,9.032378308738435,616710,2.8539684073233174,0.0626872376438727,6.8
628,ES23,2008,ES,8.225624262282402,2.262057246747932,4.982870986874845,1.7248582629604776,1.0,9.32070262215569,316197,2.958015267175573,0.0554275537634408,7.9
629,ES24,2008,ES,9.588916446208843,2.0750834748796683,5.079949982831502,1.8368379217124904,1.0,5.838194559785205,1325426,1.3183376638702569,0.0561718190537084,7.3
630,ES30,2008,ES,11.25551930974503,2.003408365692123,4.609426175465095,2.643300665968778,1.0,6.217095726327827,6226185,39.33802286144956,0.0642574320656512,8.6
631,ES41,2008,ES,10.173919759596556,1.965679660422836,5.133104793685956,2.081304266573342,1.0,6.552482311586657,2541720,1.1475936502379611,0.0526771856398809,9.6
632,ES42,2008,ES,9.696501741410392,2.0445352586494154,4.947735355968347,1.8893811937265044,1.0,6.115926499514004,2031840,1.091843695556801,0.0463665660202067,11.7
633,ES43,2008,ES,8.922636702435186,2.212937860681689,4.962697404849964,1.6277527538323544,1.0,5.863004403465149,1089655,1.0083067375233097,0.0444683235867446,15.4
634,ES51,2008,ES,11.338784341399515,1.4641341481261712,3.300064772386022,2.884720177387195,1.0,6.083628821810313,7311146,11.195900911603248,0.0580002038365956,8.9
635,ES52,2008,ES,10.73220262478424,1.955010164568248,4.72934672582906,2.4282699563116323,1.0,6.260779810942229,4928095,9.618471630497972,0.0484929093369418,12.0
636,ES53,2008,ES,9.347134959351914,1.9986865768923352,4.876443699832018,1.9306199028564484,1.0,8.734979587321996,1042857,10.287076547068134,0.0536994741966893,10.2
637,ES61,2008,ES,11.100664331047373,1.296960626816145,3.24504380870259,3.1057409430488963,1.0,5.132959580970352,8118570,3.653160671108049,0.0478461606606131,17.7
638,ES62,2008,ES,9.473502105670548,2.1504307410208523,5.109205808153446,1.4399543001687576,1.0,6.563625592076235,1419563,5.543696801679318,0.0464903978271289,12.4
639,ES63,2008,ES,6.358300615089853,1.7197736391303582,3.973106610772066,4.797225212749348,1.0,6.426625948254591,75250,141.96891191709844,0.0570255474452554,17.4
640,ES64,2008,ES,6.125534094813892,1.7249586691205994,3.898574220398107,4.690906834206682,1.0,8.921205150841951,71244,177.61194029850748,0.0589495798319327,20.0
