,Region,RegionCode,RegionName,T,Nuts0,Nuts1,sp61,tc,tc_ratio,tl_min,tl_mean,tl_max,sp61_n,sp61_d,tl_min_n,tl_min_d,tl_mean_n,tl_mean_d,tl_max_n,tl_max_d,tc_n,tc_d,tc_ratio_n,tc_ratio_d,sp61_resi_n,sp61_resi_d_alt,sp61_resi_regional_alt,sp61_resi_regional_alt_cont
78,R79,ES23,La_Rioja,2000,ES,ES2,2093.83740002,2.161874389069713,2.0657508382899885,3.586267625872007,4.6594841646466225,5.369651220188437,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
79,R80,ES24,Aragon,2000,ES,ES2,7766.95143369,2.0198923825413195,1.5570075327780406,3.7364918333152835,4.858078827356938,5.410972836234443,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
80,R81,ES30,Comunidad_de_Madrid,2000,ES,ES3,41196.3641924,1.9817360969281008,2.059807825810213,2.6487351768443492,4.460749131758072,5.275543761029485,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
81,R82,ES41,Castilla_y_Leon,2000,ES,ES4,15480.6180466,1.9238984670711727,1.3804924057515084,3.581012844276881,4.994467618375755,5.620790922551005,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
82,R83,ES42,Castillala_Mancha,2000,ES,ES4,9282.0529964,2.010627018437262,1.5935113410417516,3.606171150063387,4.862762777708075,5.492811195290759,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
83,R84,ES43,Extremadura,2000,ES,ES4,4384.17941727,2.131398645842396,2.1838410360573492,3.65735451907062,4.718198417900092,5.367375404808828,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
84,R85,ES51,Cataluna,2000,ES,ES5,47811.501679,1.4471861991611519,3.4297948659017807,1.9999999999999771,3.0651178301857365,4.36707350814808,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
85,R86,ES52,Comunidad_Valenciana,2000,ES,ES5,24968.3925761,1.9204689743418046,1.4780861192872343,3.3335644608934683,4.73580610229619,5.40661117214327,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
86,R87,ES53,Illes_Balears,2000,ES,ES5,6816.70877567,1.937572534731244,1.6541962046092424,3.554665912264878,4.679927408883965,5.22738388704697,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
87,R88,ES61,Andalucia,2000,ES,ES6,35992.9165126,1.3333908602295943,2.118751669880978,1.9999999999999778,3.1326173725442072,4.71437633415585,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
88,R89,ES62,Region_de_Murcia,2000,ES,ES6,6719.71918033,2.0851591215929224,1.7389101779600025,3.7499990548836584,4.859926068705896,5.414304893345536,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
89,R90,ES63,Ciudad_Autonoma_de_Ceuta_ES,2000,ES,ES6,336.952159878,1.534104196201545,1.909210067880598,0.9999999999999977,3.6863812945745984,5.033465015334493,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
90,R91,ES64,Ciudad_Autonoma_de_Melilla_ES,2000,ES,ES6,289.493062232,1.5878613425601675,2.008690711854464,0.9999999999999966,3.7792434452947115,5.949919446846796,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
91,R92,ES70,Canarias_ES,2000,ES,ES7,10228.096540409999,1.8697049885476906,1.5395027821353011,3.45667150920114,4.677608409948872,5.316591865047187,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
92,R93,FI13,ItaSuomi,2000,FI,FI1,6281.19125049,2.0726764427503084,2.0242312821056037,3.35491096062605,4.509043581162445,5.228779612417754,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
93,R94,FI18,EtelaSuomi,2000,FI,FI1,34043.329461,2.091184265633197,2.086552927580173,3.4176383571822444,4.583330545567834,5.572792330640073,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
94,R95,FI19,LansiSuomi,2000,FI,FI1,13258.287739799,2.0721113487585745,1.9324923168184962,3.163556421598085,4.603551595824945,5.415437149597847,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
95,R96,FI1A,PohjoisSuomi,2000,FI,FI1,6909.93456189,2.044555813722235,1.809615739641929,3.34642010974098,4.568090977655747,5.416239741069328,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
