,causes,caused,weight
430,AT12,PL22,0
431,AT12,PL31,0
432,AT12,PL32,0
433,AT12,PL33,0
434,AT12,PL34,0
435,AT12,PL41,0
436,AT12,PL42,0
437,AT12,PL43,0
438,AT12,PL51,0
439,AT12,PL52,0
440,AT12,PL61,0
441,AT12,PL62,0
442,AT12,PL63,0
443,AT12,PT11,0
444,AT12,PT15,0
445,AT12,PT16,0
446,AT12,PT17,0
447,AT12,PT18,0
448,AT12,SE11,0
449,AT12,SE12,0
450,AT12,SE21,0
451,AT12,SE22,0
452,AT12,SE23,0
453,AT12,SE31,0
454,AT12,SE32,0
455,AT12,SE33,0
456,AT12,SI00,0
457,AT12,SK01,0
458,AT12,SK02,0
459,AT12,SK03,0
460,AT12,SK04,0
461,AT12,UKC1,0
462,AT12,UKC2,0
463,AT12,UKD1,0
464,AT12,UKD2,0
465,AT12,UKD3,0
466,AT12,UKD4,0
467,AT12,UKD5,0
468,AT12,UKE1,0
469,AT12,UKE2,0
470,AT12,UKE3,0
471,AT12,UKE4,0
472,AT12,UKF1,0
473,AT12,UKF2,0
474,AT12,UKF3,0
475,AT12,UKG1,0
476,AT12,UKG2,0
477,AT12,UKG3,0
478,AT12,UKH1,0
479,AT12,UKH2,0
480,AT12,UKH3,0
481,AT12,UKI1,0
482,AT12,UKI2,0
483,AT12,UKJ1,0
484,AT12,UKJ2,0
485,AT12,UKJ3,0
486,AT12,UKJ4,0
487,AT12,UKK1,0
488,AT12,UKK2,0
489,AT12,UKK3,0
490,AT12,UKK4,0
491,AT12,UKL1,0
492,AT12,UKL2,0
493,AT12,UKM2,0
494,AT12,UKM3,1
495,AT12,UKM5,0
496,AT12,UKM6,0
497,AT12,UKN0,0
498,AT13,AT11,1
499,AT13,AT12,0
500,AT13,AT13,0
501,AT13,AT21,0
502,AT13,AT22,0
503,AT13,AT31,0
504,AT13,AT32,0
505,AT13,AT33,0
506,AT13,AT34,0
507,AT13,BE10,0
508,AT13,BE21,0
509,AT13,BE22,0
510,AT13,BE23,0
511,AT13,BE24,0
512,AT13,BE25,0
513,AT13,BE31,0
514,AT13,BE32,0
515,AT13,BE33,1
516,AT13,BE34,0
517,AT13,BE35,0
518,AT13,CZ01,0
519,AT13,CZ02,0
520,AT13,CZ03,1
521,AT13,CZ04,0
522,AT13,CZ05,0
523,AT13,CZ06,1
524,AT13,CZ07,1
525,AT13,CZ08,0
526,AT13,DE11,0
527,AT13,DE12,0
528,AT13,DE13,0
529,AT13,DE14,0
530,AT13,DE21,0
531,AT13,DE22,0
532,AT13,DE23,0
533,AT13,DE24,0
534,AT13,DE25,0
535,AT13,DE26,0
536,AT13,DE27,0
537,AT13,DE30,0
538,AT13,DE41,0
539,AT13,DE42,0
540,AT13,DE50,0
541,AT13,DE60,0
542,AT13,DE71,1
543,AT13,DE72,0
544,AT13,DE73,0
545,AT13,DE80,0
546,AT13,DE91,0
547,AT13,DE92,0
548,AT13,DE93,0
