DATAFLOW,LAST UPDATE,freq,wstatus,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE23,2003,583.1,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE23,2004,589.3,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE23,2005,610.7,b
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE23,2006,612.6,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE23,2007,623.9,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE23,2008,643.9,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE23,2009,640.9,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE23,2010,644.5,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE24,2000,452.2,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE24,2001,442.4,b
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE24,2002,445.5,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE24,2003,446.3,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE24,2004,450.9,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE24,2005,468.2,b
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE24,2006,462.6,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE24,2007,474.1,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE24,2008,475.5,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE24,2009,476.5,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE24,2010,480.4,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE25,2000,494.1,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE25,2001,474.0,b
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE25,2002,468.1,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE25,2003,484.5,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE25,2004,491.5,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE25,2005,486.6,b
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE25,2006,493.7,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE25,2007,508.1,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE25,2008,500.0,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE25,2009,497.5,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE25,2010,507.2,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE31,2000,146.0,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE31,2001,137.7,b
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE31,2002,139.2,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE31,2003,139.6,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE31,2004,145.7,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE31,2005,144.7,b
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE31,2006,149.2,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE31,2007,154.8,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE31,2008,158.1,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE31,2009,154.3,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE31,2010,157.8,
