,index,Region,RegionCode,RegionName,SectorCode,SectorName,sp60,sp61,Nuts0,Nuts1,trophic_depth_2000,trophic_depth_2001,trophic_depth_2002,trophic_depth_2003,trophic_depth_2004,trophic_depth_2005,trophic_depth_2006,trophic_depth_2007,trophic_depth_2008,trophic_depth_2009,trophic_depth_2010
BE24_ss6,187,R14,BE24,Prov_Vlaams_Brabant,ss6,Electrical_and_optical_equipment_and_Transport_equipment,485.9563562,271.5730603,BE,BE2,4.907056369526618,4.971868225822391,4.620695792385723,4.846729588197734,4.908619085085316,4.931950871027105,5.016987901760473,5.08234563490069,5.124598632755786,4.957764515992503,5.056262989437219
BE24_ss8,188,R14,BE24,Prov_Vlaams_Brabant,ss8,Other_manufacturing,755.625288,595.1140158,BE,BE2,4.810903672806441,4.835194554542704,4.809689199410489,4.808842937445029,4.906249998509837,5.020617894548206,5.135314443565157,5.174470163803541,5.18377769568238,4.953028582173943,5.105980641459385
BE24_ss9,189,R14,BE24,Prov_Vlaams_Brabant,ss9,Construction,420.1070674,464.0877279,BE,BE2,4.858040359612176,4.845888833510631,4.537816569395371,4.82133669357494,4.925390775462818,5.075641569812654,5.176413044286571,5.19328847433659,5.2164020599569865,5.1273047061500545,5.231089913628145
BE24_ss10,190,R14,BE24,Prov_Vlaams_Brabant,ss10,Distribution,2192.059765,1281.070495,BE,BE2,4.290083266368637,4.243630865783565,4.440059423338927,4.167899668149353,4.210925864494757,4.259000796382988,4.260591598365292,4.22064778589198,4.194042700126925,4.138698960657839,4.278887553584779
BE24_ss11,191,R14,BE24,Prov_Vlaams_Brabant,ss11,Hotels_and_restaurant,153.1280624,113.4108047,BE,BE2,4.517168849588561,4.551128305891757,3.4229468829322354,4.496485466718168,4.530579178900833,4.6048185486549205,4.618018965480497,4.628247659518755,4.565978624360756,4.569831245516015,4.603550774768849
BE24_ss12,192,R14,BE24,Prov_Vlaams_Brabant,ss12,Transport_storage_and_communication,1280.992328,859.0000807,BE,BE2,4.431002338054255,4.440368045745189,4.694835540736741,4.401801818408243,4.498007122729033,4.647599733338247,4.716136653395566,4.742662769718818,4.716821830884693,4.616344015300542,4.720646304841643
BE24_ss13,193,R14,BE24,Prov_Vlaams_Brabant,ss13,Financial_intermediation,650.9240509,493.8556407,BE,BE2,3.892143042069528,3.87272905564116,4.522813820462712,3.9126132886827385,3.962267069526476,4.084136088430954,4.167765736503492,4.171504310724378,4.313073986894489,4.32807835196799,4.250427789221226
BE24_ss14,194,R14,BE24,Prov_Vlaams_Brabant,ss14,Real_estate_renting_and_busine_activitie,1679.253485,3953.604648,BE,BE2,4.239356414201702,4.192621319060836,4.657338919547128,4.270341067413836,4.3363474764780445,4.419606641241982,4.417992393837162,4.346516597253421,4.374227182036297,4.513359787991307,4.565298540517027
BE24_ss15,195,R14,BE24,Prov_Vlaams_Brabant,ss15,Non-Market_Service,3044.925335,1267.455795,BE,BE2,3.1634751403481114,3.1602046873213214,2.3438453512576767,3.12408521438545,3.1596108680073693,3.1908573020719393,3.2008452641974925,3.2149794080332335,3.2565938120717557,3.204832303623272,3.254982358000792
BE25_ss1,196,R15,BE25,Prov_WestVlaanderen,ss1,Agriculture,53.6035946,578.4069918,BE,BE2,5.602715606953417,5.617953070314847,5.309915940447143,5.3650331003606375,5.4113506285983215,5.52235752003094,5.557297446642179,5.5955740413495985,5.670226900457347,5.516272015948234,5.545464131207643
BE25_ss2,197,R15,BE25,Prov_WestVlaanderen,ss2,Mining_quarrying_and_energy_supply,117.2884309,305.070639,BE,BE2,4.4088745106388885,4.588645103869305,4.388677297739225,4.133276502594608,4.30395934336843,4.498524139945873,4.673832114944926,4.542612408277554,4.49298347641846,4.41853513434626,4.515946083801799
BE25_ss3,198,R15,BE25,Prov_WestVlaanderen,ss3,Food_beverages_and_tobacco,368.9081552,362.1221697,BE,BE2,5.4720014999340005,5.542839834754,4.657187926919288,5.311456449213849,5.341546905641636,5.3497262466249556,5.409106832288801,5.49030330714225,5.493834395525424,5.326832586882143,5.426096674046758
BE25_ss4,199,R15,BE25,Prov_WestVlaanderen,ss4,Textiles_and_leather_etc,119.4992194,89.1301203,BE,BE2,4.994943707755115,5.022842041307474,4.092825438198524,4.861828270240812,4.900061384555905,4.9055431991628575,4.963994864044704,4.984270847182344,4.960599889217747,4.840119660436384,5.037652620084898
BE25_ss5,200,R15,BE25,Prov_WestVlaanderen,ss5,Coke_refined_petroleum_nuclear_fuel_and_chemicals_etc,1163.700382,1218.420286,BE,BE2,5.141555624154687,5.112076687964831,4.581885464656796,4.925603008986372,5.069280632949383,5.256026256575801,5.323678080855453,5.4103732309563375,5.547137512247654,5.334460382797768,5.364632516890859
BE25_ss6,201,R15,BE25,Prov_WestVlaanderen,ss6,Electrical_and_optical_equipment_and_Transport_equipment,490.8067552,264.4907474,BE,BE2,4.979265516881979,5.009694345016078,4.480507166635496,4.812837400649839,4.92489644138697,4.945668779775286,5.014067354280256,5.056744712639572,5.068385480640244,4.876967688684424,4.983795756885377
BE25_ss8,202,R15,BE25,Prov_WestVlaanderen,ss8,Other_manufacturing,1151.615519,875.3827788,BE,BE2,4.788206349213674,4.80042975218825,4.706883486503136,4.6902992640693295,4.8248770010594715,4.872636827219855,5.015823881905975,5.093915184961234,5.064681100315648,4.859962053768024,5.017568620495988
BE25_ss9,203,R15,BE25,Prov_WestVlaanderen,ss9,Construction,639.3687328,711.7031278,BE,BE2,4.960277549658679,4.965034740552371,4.645900367358464,4.8994494568464395,4.997446171094187,5.157594963207859,5.278209699179699,5.289477042560321,5.310853175800915,5.191396269520183,5.282389384823735
BE25_ss10,204,R15,BE25,Prov_WestVlaanderen,ss10,Distribution,1028.003289,1335.546045,BE,BE2,4.693311485847367,4.683397287020414,4.751041963967388,4.503639995040562,4.539115528641492,4.623388870561983,4.613875033323644,4.586570124433934,4.610969760464524,4.433223617182422,4.540898273941032
BE25_ss11,205,R15,BE25,Prov_WestVlaanderen,ss11,Hotels_and_restaurant,194.9926328,322.9711682,BE,BE2,5.001428577462637,5.048601679766568,4.12872634012987,4.86206914817763,4.8856910057477965,4.992473749532277,5.013008401821354,5.039589199779178,5.047927495342007,4.926922929860744,4.943025415173639
BE25_ss12,206,R15,BE25,Prov_WestVlaanderen,ss12,Transport_storage_and_communication,655.4904641,978.3067769,BE,BE2,4.8689096993916205,4.901669352772118,4.964432619876658,4.737683894878127,4.816110030323133,5.011844909386164,5.078883559460575,5.122650173113915,5.192246135697153,5.002997983002753,5.0667954635045795
BE25_ss13,207,R15,BE25,Prov_WestVlaanderen,ss13,Financial_intermediation,419.6092723,650.1345232,BE,BE2,4.333054389997395,4.379660744328392,4.990367522629501,4.398106671171025,4.476163313015846,4.636476947805269,4.700175621967054,4.713289906358916,4.838655598884454,4.735785373260696,4.601957709528309
BE25_ss14,208,R15,BE25,Prov_WestVlaanderen,ss14,Real_estate_renting_and_busine_activitie,790.3835367,3619.700756,BE,BE2,4.859405558577585,4.946157006547856,5.031274951985882,4.910852294037774,4.993879309664437,5.145035435743223,5.14543257984817,5.104562576132061,5.132401374319223,5.056492651619134,5.047896024906681
BE25_ss15,209,R15,BE25,Prov_WestVlaanderen,ss15,Non-Market_Service,3282.780545,1380.708609,BE,BE2,3.196310238437334,3.2083118611148325,2.4418856506811886,3.1609065650374015,3.2036025694707337,3.2414640291874934,3.253387720827244,3.2616247232164737,3.2956924954303757,3.2414252556941667,3.2921447700118023
BE31_ss1,210,R16,BE31,Prov_Brabant_Wallon,ss1,Agriculture,10.55490554,84.36583814,BE,BE3,5.354524587128005,5.358725776677925,5.186624651987049,5.080837904405283,5.047009699286641,5.148096209051833,5.110492194222297,5.117484312684216,5.242322420981582,5.347655225897899,5.420981604203242
BE31_ss2,211,R16,BE31,Prov_Brabant_Wallon,ss2,Mining_quarrying_and_energy_supply,23.36711295,79.5155377,BE,BE3,4.269042102062315,4.534290391698793,4.480218439685866,4.2018088606470805,4.491972492884327,4.643733779651155,4.557697913225706,4.452455648444974,4.649369227587256,4.514050938249407,4.982199729273308
BE31_ss3,212,R16,BE31,Prov_Brabant_Wallon,ss3,Food_beverages_and_tobacco,24.23688919,30.91572559,BE,BE3,5.416753472959641,5.474365236652898,4.271597071679954,5.23474951733779,5.30035827189663,5.3334308874948455,5.316088208294796,5.282960691988019,5.448566264565723,5.230839030181782,5.541825303406129
BE31_ss4,213,R16,BE31,Prov_Brabant_Wallon,ss4,Textiles_and_leather_etc,51.28830037,49.6728801,BE,BE3,4.778861083749068,4.829991325905525,4.380570810008599,4.731261415961975,4.822210316670009,4.702529618899788,4.764893905828196,4.669282663540571,4.726210638257046,4.64763159537539,5.03331131356264
BE31_ss5,214,R16,BE31,Prov_Brabant_Wallon,ss5,Coke_refined_petroleum_nuclear_fuel_and_chemicals_etc,344.7514038,474.4605781,BE,BE3,5.187543278482371,5.184917582126484,4.581864598019012,4.973114316322012,5.180116968613671,5.4148741471190815,5.410571706900138,5.394308271950291,5.713827819980177,5.4474600864069815,5.708596432170508
BE31_ss6,215,R16,BE31,Prov_Brabant_Wallon,ss6,Electrical_and_optical_equipment_and_Transport_equipment,98.8553219,68.84866695,BE,BE3,4.963095862400172,4.994899899636764,4.629285445284102,4.823398710623716,4.9705911327390995,5.057281177920499,5.122976199573588,5.076672114892365,5.197927292246004,5.031630123729826,5.245527621731706
BE31_ss8,216,R16,BE31,Prov_Brabant_Wallon,ss8,Other_manufacturing,151.7472811,149.1789901,BE,BE3,4.897696011532223,4.9193333011091305,4.831561358443888,4.822264185347887,4.984842852313192,5.097837829128562,5.175310475645367,5.1574979158779275,5.230352278127053,5.011633990196997,5.297110934256901
BE31_ss9,217,R16,BE31,Prov_Brabant_Wallon,ss9,Construction,175.075102,168.1117584,BE,BE3,4.90161204981311,4.9024188063370016,4.503554661722331,4.802467124505643,4.9148046916700165,5.080604057116769,5.1677322979879685,5.139618930937347,5.221321413061267,5.085428603455478,5.195090828687673
BE31_ss10,218,R16,BE31,Prov_Brabant_Wallon,ss10,Distribution,536.5014655,422.9415679,BE,BE3,4.55807684426299,4.481849157874977,4.485625911019502,4.36006901171478,4.377097687663009,4.471527197388276,4.405118026098785,4.394222623143049,4.442194090126779,4.302876814259775,4.391173102242744
BE31_ss11,219,R16,BE31,Prov_Brabant_Wallon,ss11,Hotels_and_restaurant,46.01898034,46.45276957,BE,BE3,4.620358684307977,4.635752194793698,3.6668894801015828,4.531700288015495,4.555906073584859,4.68419848432462,4.638064513863501,4.641340658440511,4.724602381535949,4.610702694435977,4.650741746199981
BE31_ss12,220,R16,BE31,Prov_Brabant_Wallon,ss12,Transport_storage_and_communication,294.2091826,267.9851648,BE,BE3,4.656266093304909,4.641940301019178,4.766455328238067,4.551136499832156,4.60397175004545,4.76796208625598,4.7947244264471465,4.829744208807395,4.923186245519859,4.750874316402048,4.799324705021135
BE31_ss13,221,R16,BE31,Prov_Brabant_Wallon,ss13,Financial_intermediation,114.502712,165.8942238,BE,BE3,4.293701526900057,4.295851272171882,4.888671358997754,4.309098600719754,4.355387762282873,4.49340421828755,4.578562799918958,4.551391612610007,4.682638302016413,4.631538281606339,4.466732221037973
BE31_ss14,222,R16,BE31,Prov_Brabant_Wallon,ss14,Real_estate_renting_and_busine_activitie,283.3585133,1349.98663,BE,BE3,4.856774027725035,4.858604140780827,4.957770463985958,4.817370920038299,4.876260394940292,5.014620116246124,5.039402158053555,4.948076918313368,4.949321715596229,4.916187771101436,4.888875966403644
BE31_ss15,223,R16,BE31,Prov_Brabant_Wallon,ss15,Non-Market_Service,1113.638117,437.1209816,BE,BE3,3.166238317816216,3.16614756274086,2.4410258334969024,3.138938021761399,3.1715312525266457,3.2141252819323345,3.2279413477789873,3.2457283255259197,3.2647810117207903,3.210541365246141,3.240023328419826
BE32_ss1,224,R17,BE32,Prov_Hainaut,ss1,Agriculture,16.87768995,267.6477813,BE,BE3,5.60628825497448,5.583502637789271,5.243650524095404,5.366321327392567,5.38190877457048,5.47142755077386,5.470046020264411,5.519634108053693,5.607650771947428,5.522741757784953,5.552943483368681
BE32_ss2,225,R17,BE32,Prov_Hainaut,ss2,Mining_quarrying_and_energy_supply,195.0248366,440.1228386,BE,BE3,4.333614797921069,4.466260006743145,4.313178786801982,4.214171594862022,4.373682578037574,4.5385344144267545,4.59879321012717,4.695562133335085,4.700648553459849,4.3951029202081,4.518339824235333
BE32_ss3,226,R17,BE32,Prov_Hainaut,ss3,Food_beverages_and_tobacco,148.9210773,125.6774088,BE,BE3,5.410098516780586,5.441169848886446,4.1538556845560635,5.278061560592759,5.290140561419911,5.308639526336897,5.349494254405294,5.43349269448816,5.479048149289552,5.226179964350714,5.333124595641318
